priority,seed_keyword,keyword,search_intent,content_type,estimated_demand,seo_competition,sprint_score,dedupe_vs_30,include_month4,memo
31,감정평가 의뢰,감정평가 기간 며칠,정보형,절차안내,중,중,8,낮음,Y,자동완성 기간·초안 있음
32,증여 감정평가,증여 감정평가 비용,비교형,비교정리,중,중,9,낮음,Y,seed#4 미소진
33,부담부증여,부담부증여 감정평가,정보형,개념설명,중,높음,9,낮음,Y,니치 롱테일
34,상속 감정평가,상속세 감정평가 수수료 공제,비교형,비교정리,중,중,8,낮음,Y,자동완성·YMYL
35,오피스텔 상속,오피스텔 감정평가,실행형,체크리스트,중,중,8,낮음,Y,아파트 글과 분리
36,고가주택 증여세,고가주택 증여세 감정평가,정보형,개념설명,중,높음,9,낮음,Y,seed#7
37,기준시가 증여세,기준시가 증여세 감정평가,비교형,비교정리,중,중,8,중,Y,공시가격 글과 각도 분리
38,탁상공정,탁상공정가액 감정평가 차이,비교형,비교정리,높음,중,10,낮음,Y,검색 수요 높음
39,증여세 신고,증여세 신고 감정평가,실행형,체크리스트,중,중,8,중,Y,archive 연관검색
40,분양권,분양권 상속 감정평가,정보형,개념설명,중,높음,8,낮음,Y,미커버 니치
41,법인 부동산,법인 부동산 상속 감정평가,정보형,개념설명,중,높음,8,낮음,Y,미커버
42,채권최고액,채권최고액 감정평가,정보형,개념설명,중,높음,8,중,Y,선순위 글 심화
14,다가구주택,다가구주택 상속 감정평가,실행형,체크리스트,중,높음,7,낮음,N,5개월차 풀
15,임차권등기,임차권등기 감정평가,정보형,개념설명,중,높음,7,중,N,5개월차 풀
16,감정평가 의뢰,감정평가 두 곳 결과 차이,정보형,사례해설,중,높음,7,낮음,N,5개월차 풀
20,경매 임차,경매 임차인 감정평가,정보형,사례해설,중,중,7,낮음,N,5개월차 풀
